iso_code,country,year,gdp,population,fossil_fuel_consumption,coal_consumption,coal_production,gas_consumption,gas_production,oil_consumption,oil_production,low_carbon_consumption,renewables_consumption,biofuel_consumption,hydro_consumption,solar_consumption,wind_consumption,other_renewable_consumption,nuclear_consumption,efficiency
OWID_WRL,World,2001,58600000000000.0,6222626816.0,1223.8667564102564,357.0833846153846,358.15165384615386,311.93521794871793,315.2093974358974,554.8481666666667,536.606,195.12416666666667,101.23038461538462,1.612051282051282,91.42133333333332,0.04956410256410256,1.3583205128205127,6.7891153846153856,93.89379487179488,529448102.214058
OWID_WRL,World,2002,60500000000000.0,6301772800.0,1251.7531923076922,371.0851666666667,362.48476923076925,321.1910128205128,322.4506666666666,559.4770128205129,530.0624871794872,198.32621794871795,103.54761538461538,1.874346153846154,92.51742307692308,0.06201282051282051,1.8396153846153847,7.254217948717948,94.77861538461538,534895551.3435454
OWID_WRL,World,2003,62400000000000.0,6381185024.0,1305.8722692307692,403.8013974358974,389.0800512820513,330.15398717948716,334.01991025641024,571.9168717948718,553.5529230769231,196.0427435897436,103.7788076923077,2.1145897435897436,91.77616666666667,0.07888461538461537,2.197551282051282,7.611641025641025,92.26392307692308,532653308.0574543
OWID_WRL,World,2004,66000000000000.0,6461158912.0,1367.3797564102565,431.5941153846154,422.78517948717945,342.7637564102564,344.9395,593.0218846153847,581.2103461538461,207.51535897435897,111.67320512820513,2.5557564102564103,97.89460256410257,0.10324358974358976,2.9540128205128204,8.165589743589745,95.84216666666667,537276316.3007216
OWID_WRL,World,2005,70700000000000.0,6541906944.0,1416.140435897436,463.7280256410256,449.3463461538461,352.1015128205128,353.1249743589743,600.3108974358975,586.1646666666667,211.6270769230769,116.1410512820513,3.0562564102564105,100.57203846153845,0.14365384615384616,3.5894615384615385,8.779641025641025,95.48602564102563,556842576.8859798
OWID_WRL,World,2006,75100000000000.0,6623518208.0,1456.5789487179486,488.0855641025641,472.2902820512821,361.22630769230767,365.1488205128205,607.2670641025641,591.4585897435898,217.72185897435898,121.65415384615383,3.8401666666666667,103.75442307692308,0.19606410256410256,4.552910256410256,9.310602564102563,96.06770512820513,575058262.1694906
OWID_WRL,World,2007,79900000000000.0,6705947136.0,1506.472282051282,515.6874871794872,493.00296153846153,375.94483333333335,374.5102564102564,614.8399487179488,590.0558076923078,219.5585769230769,126.03670512820511,5.053961538461539,104.8652564102564,0.26461538461538464,5.8141410256410255,10.038730769230769,93.5218717948718,593476628.2033151
OWID_WRL,World,2008,83000000000000.0,6789088768.0,1517.4417948717949,522.6984615384616,509.09047435897435,384.9273076923077,388.3748717948718,609.8160256410257,596.2224743589744,228.38553846153846,135.7333076923077,6.920602564102564,110.23978205128205,0.42789743589743584,7.467448717948718,10.677576923076924,92.65223076923077,609511916.6629484
OWID_WRL,World,2009,82400000000000.0,6872766976.0,1489.9123846153846,514.7260641025641,508.8819743589744,377.06447435897434,376.2692051282051,598.1218589743589,581.2655897435898,229.51791025641026,138.7400641025641,7.931397435897436,109.39478205128205,0.7053333333333333,9.28476923076923,11.42376923076923,90.77784615384614,614395512.0256999
OWID_WRL,World,2010,88500000000000.0,6956824064.0,1560.1427692307693,538.4260769230768,537.1259743589744,405.2149487179487,403.35862820512824,616.5017435897436,592.9686153846154,241.9389358974359,149.39402564102565,9.13351282051282,114.85220512820513,1.1270128205128205,11.582910256410257,12.698397435897435,92.54491025641025,629613730.2690529
OWID_WRL,World,2011,94000000000000.0,7041193984.0,1601.7826538461538,564.3343333333333,576.3643461538462,415.0127435897436,416.91665384615385,622.435576923077,597.5821538461539,244.05508974358972,155.92265384615385,9.553230769230769,116.3191794871795,2.1636666666666664,14.639025641025642,13.247564102564102,88.1324358974359,652889566.9803017
OWID_WRL,World,2012,96600000000000.0,7125828096.0,1622.590987179487,566.4787820512821,582.976641025641,425.89784615384616,425.50125641025636,630.214358974359,614.2379487179487,247.0034358974359,165.41111538461539,9.80401282051282,120.52321794871794,3.3289487179487183,17.530115384615385,14.224807692307694,81.5923205128205,662422567.7905667
OWID_WRL,World,2013,99300000000000.0,7210582016.0,1646.7707307692308,576.8393205128204,593.450076923077,432.899217948718,430.49357692307694,637.0321923076923,615.5228205128205,258.17362820512824,176.33114102564102,10.476038461538462,125.19064102564104,4.5662692307692305,20.86842307692308,15.22978205128205,81.84248717948718,668301369.0553987
OWID_WRL,World,2014,102000000000000.0,7295290880.0,1653.3636923076924,576.3389102564103,591.3602692307693,435.82408974358975,439.21957692307694,641.2006923076923,629.796782051282,267.04308974358975,184.13316666666668,11.228653846153847,127.05565384615385,6.4555384615384614,23.05002564102564,16.343282051282053,82.90992307692308,680945474.6329819
OWID_WRL,World,2015,105000000000000.0,7379796992.0,1660.4650000000001,562.1047820512821,575.7790128205128,445.89898717948716,448.80038461538464,652.4612307692308,649.464858974359,273.92008974358976,190.3806923076923,11.633320512820513,125.9893717948718,8.33,26.970115384615383,17.457884615384614,83.53941025641025,695907889.9498155
OWID_WRL,World,2016,107000000000000.0,7464022016.0,1675.715782051282,553.7902435897437,545.9473461538461,456.2825128205128,453.89239743589746,665.6430256410257,651.8389358974358,285.1167564102564,200.80969230769233,12.10898717948718,129.38129487179486,10.582692307692309,31.073,17.66371794871795,84.3070641025641,699598178.2672664
