country,year,energy_type,energy_subtype,amount
United Arab Emirates,2002,Fossil Fuel,Coal,1.097
United Arab Emirates,2002,Fossil Fuel,Gas,355.29
United Arab Emirates,2002,Fossil Fuel,Oil,238.997
United Arab Emirates,2002,Low Carbon,Biofuel,0.0
United Arab Emirates,2002,Low Carbon,Hydro,0.0
United Arab Emirates,2002,Low Carbon,Solar,0.0
United Arab Emirates,2002,Low Carbon,Wind,0.0
United Arab Emirates,2002,Low Carbon,Other Renewable,0.0
United Arab Emirates,2002,Low Carbon,Nuclear,0.0
United Arab Emirates,2003,Fossil Fuel,Coal,1.29
United Arab Emirates,2003,Fossil Fuel,Gas,369.33
United Arab Emirates,2003,Fossil Fuel,Oil,264.236
United Arab Emirates,2003,Low Carbon,Biofuel,0.0
United Arab Emirates,2003,Low Carbon,Hydro,0.0
United Arab Emirates,2003,Low Carbon,Solar,0.0
United Arab Emirates,2003,Low Carbon,Wind,0.0
United Arab Emirates,2003,Low Carbon,Other Renewable,0.0
United Arab Emirates,2003,Low Carbon,Nuclear,0.0
United Arab Emirates,2004,Fossil Fuel,Coal,1.462
United Arab Emirates,2004,Fossil Fuel,Gas,392.048
United Arab Emirates,2004,Fossil Fuel,Oil,285.353
United Arab Emirates,2004,Low Carbon,Biofuel,0.0
United Arab Emirates,2004,Low Carbon,Hydro,0.0
United Arab Emirates,2004,Low Carbon,Solar,0.0
United Arab Emirates,2004,Low Carbon,Wind,0.0
United Arab Emirates,2004,Low Carbon,Other Renewable,0.0
United Arab Emirates,2004,Low Carbon,Nuclear,0.0
United Arab Emirates,2005,Fossil Fuel,Coal,1.691
United Arab Emirates,2005,Fossil Fuel,Gas,409.988
United Arab Emirates,2005,Fossil Fuel,Oil,296.559
United Arab Emirates,2005,Low Carbon,Biofuel,0.0
United Arab Emirates,2005,Low Carbon,Hydro,0.0
United Arab Emirates,2005,Low Carbon,Solar,0.0
United Arab Emirates,2005,Low Carbon,Wind,0.0
United Arab Emirates,2005,Low Carbon,Other Renewable,0.0
United Arab Emirates,2005,Low Carbon,Nuclear,0.0
United Arab Emirates,2006,Fossil Fuel,Coal,3.275
United Arab Emirates,2006,Fossil Fuel,Gas,422.76
United Arab Emirates,2006,Fossil Fuel,Oil,319.065
United Arab Emirates,2006,Low Carbon,Biofuel,0.0
United Arab Emirates,2006,Low Carbon,Hydro,0.0
United Arab Emirates,2006,Low Carbon,Solar,0.0
United Arab Emirates,2006,Low Carbon,Wind,0.0
United Arab Emirates,2006,Low Carbon,Other Renewable,0.0
United Arab Emirates,2006,Low Carbon,Nuclear,0.0
United Arab Emirates,2007,Fossil Fuel,Coal,1.577
United Arab Emirates,2007,Fossil Fuel,Gas,479.383
United Arab Emirates,2007,Fossil Fuel,Oil,340.884
United Arab Emirates,2007,Low Carbon,Biofuel,0.0
United Arab Emirates,2007,Low Carbon,Hydro,0.0
United Arab Emirates,2007,Low Carbon,Solar,0.0
United Arab Emirates,2007,Low Carbon,Wind,0.0
United Arab Emirates,2007,Low Carbon,Other Renewable,0.0
United Arab Emirates,2007,Low Carbon,Nuclear,0.0
United Arab Emirates,2008,Fossil Fuel,Coal,3.992
United Arab Emirates,2008,Fossil Fuel,Gas,579.722
United Arab Emirates,2008,Fossil Fuel,Oil,358.121
United Arab Emirates,2008,Low Carbon,Biofuel,0.0
United Arab Emirates,2008,Low Carbon,Hydro,0.0
United Arab Emirates,2008,Low Carbon,Solar,0.0
United Arab Emirates,2008,Low Carbon,Wind,0.0
United Arab Emirates,2008,Low Carbon,Other Renewable,0.0
United Arab Emirates,2008,Low Carbon,Nuclear,0.0
United Arab Emirates,2009,Fossil Fuel,Coal,3.185
United Arab Emirates,2009,Fossil Fuel,Gas,575.881
United Arab Emirates,2009,Fossil Fuel,Oil,350.815
United Arab Emirates,2009,Low Carbon,Biofuel,0.0
United Arab Emirates,2009,Low Carbon,Hydro,0.0
United Arab Emirates,2009,Low Carbon,Solar,0.017
United Arab Emirates,2009,Low Carbon,Wind,0.0
United Arab Emirates,2009,Low Carbon,Other Renewable,0.0
United Arab Emirates,2009,Low Carbon,Nuclear,0.0
United Arab Emirates,2010,Fossil Fuel,Coal,7.653
United Arab Emirates,2010,Fossil Fuel,Gas,592.717
United Arab Emirates,2010,Fossil Fuel,Oil,374.002
United Arab Emirates,2010,Low Carbon,Biofuel,0.0
United Arab Emirates,2010,Low Carbon,Hydro,0.0
United Arab Emirates,2010,Low Carbon,Solar,0.048
United Arab Emirates,2010,Low Carbon,Wind,0.0
United Arab Emirates,2010,Low Carbon,Other Renewable,0.0
United Arab Emirates,2010,Low Carbon,Nuclear,0.0
United Arab Emirates,2011,Fossil Fuel,Coal,5.174
United Arab Emirates,2011,Fossil Fuel,Gas,616.362
United Arab Emirates,2011,Fossil Fuel,Oil,406.124
United Arab Emirates,2011,Low Carbon,Biofuel,0.0
United Arab Emirates,2011,Low Carbon,Hydro,0.0
United Arab Emirates,2011,Low Carbon,Solar,0.054
United Arab Emirates,2011,Low Carbon,Wind,0.0
United Arab Emirates,2011,Low Carbon,Other Renewable,0.0
United Arab Emirates,2011,Low Carbon,Nuclear,0.0
United Arab Emirates,2012,Fossil Fuel,Coal,16.077
United Arab Emirates,2012,Fossil Fuel,Gas,639.308
United Arab Emirates,2012,Fossil Fuel,Oil,423.809
United Arab Emirates,2012,Low Carbon,Biofuel,0.0
United Arab Emirates,2012,Low Carbon,Hydro,0.0
United Arab Emirates,2012,Low Carbon,Solar,0.062
United Arab Emirates,2012,Low Carbon,Wind,0.0
United Arab Emirates,2012,Low Carbon,Other Renewable,0.0
United Arab Emirates,2012,Low Carbon,Nuclear,0.0
United Arab Emirates,2013,Fossil Fuel,Coal,20.581
United Arab Emirates,2013,Fossil Fuel,Gas,647.497
United Arab Emirates,2013,Fossil Fuel,Oil,469.092
United Arab Emirates,2013,Low Carbon,Biofuel,0.0
United Arab Emirates,2013,Low Carbon,Hydro,0.0
United Arab Emirates,2013,Low Carbon,Solar,0.219
United Arab Emirates,2013,Low Carbon,Wind,0.004
United Arab Emirates,2013,Low Carbon,Other Renewable,0.0
United Arab Emirates,2013,Low Carbon,Nuclear,0.0
United Arab Emirates,2014,Fossil Fuel,Coal,22.946
United Arab Emirates,2014,Fossil Fuel,Gas,634.35
United Arab Emirates,2014,Fossil Fuel,Oil,474.178
United Arab Emirates,2014,Low Carbon,Biofuel,0.0
United Arab Emirates,2014,Low Carbon,Hydro,0.0
United Arab Emirates,2014,Low Carbon,Solar,0.785
United Arab Emirates,2014,Low Carbon,Wind,0.008
United Arab Emirates,2014,Low Carbon,Other Renewable,0.015
United Arab Emirates,2014,Low Carbon,Nuclear,0.0
United Arab Emirates,2015,Fossil Fuel,Coal,19.942
United Arab Emirates,2015,Fossil Fuel,Gas,715.483
United Arab Emirates,2015,Fossil Fuel,Oil,509.587
United Arab Emirates,2015,Low Carbon,Biofuel,0.0
United Arab Emirates,2015,Low Carbon,Hydro,0.0
United Arab Emirates,2015,Low Carbon,Solar,0.782
