iso_code,country,year,gdp,population,fossil_fuel_consumption,coal_consumption,coal_production,gas_consumption,gas_production,oil_consumption,oil_production,low_carbon_consumption,renewables_consumption,biofuel_consumption,hydro_consumption,solar_consumption,wind_consumption,other_renewable_consumption,nuclear_consumption
FIN,Finland,2015,208000000000.0,5481000.0,178.491,44.405,0.0,22.879,0.0,111.208,0.0,141.463,82.011,5.085,42.378,0.029,5.888,28.632,59.452
FIN,Finland,2016,211000000000.0,5498000.0,190.853,50.786,0.0,20.053,0.0,120.014,0.0,137.062,78.083,1.873,39.714,0.056,7.715,28.725,58.979
FRA,France,2000,1930000000000.0,59015000.0,1719.708,164.761,0.0,415.964,0.0,1138.983,0.0,1349.701,196.472,3.688,184.342,0.015,0.133,8.294,1153.229
FRA,France,2001,2010000000000.0,59384000.0,1725.441,144.188,0.0,436.684,0.0,1144.569,0.0,1380.337,218.276,3.736,204.961,0.017,0.362,9.201,1162.061
FRA,France,2002,2050000000000.0,59803000.0,1697.535,148.61,0.0,435.943,0.0,1112.982,0.0,1377.535,179.966,3.917,165.605,0.019,0.727,9.698,1197.569
FRA,France,2003,1960000000000.0,60252000.0,1730.17,157.979,0.0,457.269,0.0,1114.922,0.0,1377.017,175.383,3.596,160.582,0.021,1.057,10.126,1201.634
FRA,France,2004,2020000000000.0,60698000.0,1742.167,150.389,0.0,466.926,0.0,1124.853,0.0,1390.401,177.009,3.922,161.216,0.023,1.611,10.238,1213.392
FRA,France,2005,2110000000000.0,61120000.0,1742.59,156.185,0.0,477.126,0.0,1109.279,0.0,1372.712,158.155,6.649,138.475,0.028,2.588,10.415,1214.557
FRA,France,2006,2170000000000.0,61509000.0,1711.232,144.318,0.0,460.806,0.0,1106.108,0.0,1378.035,174.693,8.066,150.496,0.032,5.832,10.267,1203.342
FRA,France,2007,2290000000000.0,61869000.0,1675.237,149.409,0.0,447.61,0.0,1078.218,0.0,1359.346,191.312,16.244,153.011,0.048,10.811,11.199,1168.034
FRA,France,2008,2300000000000.0,62209000.0,1661.717,140.409,0.0,463.865,0.0,1057.444,0.0,1381.27,221.238,26.356,168.031,0.111,15.031,11.71,1160.032
FRA,France,2009,2280000000000.0,62543000.0,1587.678,125.028,0.0,447.311,0.0,1015.338,0.0,1285.827,210.902,28.157,149.521,0.456,20.757,12.01,1074.926
FRA,France,2010,2330000000000.0,62880000.0,1609.976,133.871,0.0,495.645,0.0,980.46,0.0,1348.795,231.485,27.6,163.518,1.617,25.93,12.82,1117.31
FRA,France,2011,2390000000000.0,63222000.0,1503.615,113.607,0.0,430.191,0.0,959.818,0.0,1340.58,194.147,27.254,116.074,5.385,31.232,14.201,1146.433
FRA,France,2012,2410000000000.0,63564000.0,1500.94,128.7,0.0,444.443,0.0,927.796,0.0,1339.313,243.569,29.814,151.11,10.344,38.412,13.888,1095.744
FRA,France,2013,2500000000000.0,63894000.0,1501.535,134.494,0.0,451.432,0.0,915.609,0.0,1363.109,278.372,30.356,181.05,12.123,41.048,13.795,1084.737
FRA,France,2014,2530000000000.0,64194000.0,1364.758,100.448,0.0,379.084,0.0,885.226,0.0,1377.17,266.37,32.721,159.897,15.048,43.897,14.806,1110.801
FRA,France,2015,2560000000000.0,64453000.0,1390.726,97.503,0.0,407.518,0.0,885.705,0.0,1365.784,259.194,33.013,137.73,18.371,53.755,16.325,1106.59
FRA,France,2016,2600000000000.0,64668000.0,1419.87,94.878,0.0,445.3,0.0,879.692,0.0,1291.704,277.751,33.208,150.996,20.521,53.817,19.211,1013.953
DEU,Germany,2000,2790000000000.0,81401000.0,3391.779,992.097,706.087,829.246,176.655,1570.436,0.0,582.505,111.377,2.569,69.074,0.167,26.425,13.142,471.128
DEU,Germany,2001,2840000000000.0,81454000.0,3460.384,994.937,677.529,874.483,178.334,1590.965,0.0,584.095,111.337,3.597,64.139,0.21,29.002,14.389,472.758
DEU,Germany,2002,2860000000000.0,81535000.0,3408.059,997.15,679.462,873.128,177.868,1537.781,0.0,582.829,130.843,5.652,64.879,0.444,43.284,16.583,451.986
DEU,Germany,2003,2880000000000.0,81614000.0,3405.059,1013.621,672.201,883.72,185.157,1507.718,0.0,581.983,132.3,8.099,48.281,0.853,50.981,24.086,449.683
DEU,Germany,2004,2960000000000.0,81646000.0,3366.813,988.111,679.345,888.211,171.335,1490.491,0.0,616.375,164.129,10.822,54.4,1.508,69.053,28.346,452.246
DEU,Germany,2005,3070000000000.0,81603000.0,3308.258,945.388,657.931,902.811,165.427,1460.059,0.0,626.722,188.168,20.039,52.826,3.448,73.243,38.611,438.555
DEU,Germany,2006,3190000000000.0,81472000.0,3360.62,983.312,620.454,920.07,163.422,1457.238,0.0,670.835,223.5,32.012,53.482,5.934,82.087,49.985,447.336
DEU,Germany,2007,3370000000000.0,81278000.0,3214.11,1008.288,632.836,886.363,149.697,1319.46,0.0,644.233,270.939,36.338,56.23,8.168,105.488,64.715,373.294
DEU,Germany,2008,3390000000000.0,81066000.0,3225.886,931.809,582.616,895.007,136.351,1399.07,0.0,670.854,278.119,31.971,53.964,11.668,107.105,73.41,392.735
DEU,Germany,2009,3230000000000.0,80900000.0,3018.434,834.293,539.803,844.302,127.462,1339.839,0.0,635.54,281.551,31.885,49.927,17.27,101.391,81.077,353.989
DEU,Germany,2010,3370000000000.0,80827000.0,3134.531,896.173,533.795,880.713,111.24,1357.645,0.0,672.746,306.266,32.021,54.632,30.582,100.506,88.524,366.481
DEU,Germany,2011,3520000000000.0,80856000.0,3032.672,910.792,543.483,808.608,104.655,1313.272,0.0,634.599,354.795,33.355,45.797,50.79,129.203,95.65,279.804
DEU,Germany,2012,3530000000000.0,80973000.0,3052.566,936.075,555.596,811.101,94.614,1305.39,0.0,661.006,404.821,35.513,56.899,67.949,133.115,111.346,256.185
DEU,Germany,2013,3650000000000.0,81174000.0,3147.407,963.399,524.757,849.744,86.041,1334.263,0.0,670.918,421.832,31.81,58.88,79.393,135.02,116.729,249.086
DEU,Germany,2014,3780000000000.0,81450000.0,2963.166,925.896,513.277,738.951,80.827,1298.319,0.0,694.137,446.952,33.34,49.847,91.759,148.87,123.136,247.185
DEU,Germany,2015,3850000000000.0,81787000.0,2981.137,915.057,497.91,769.537,75.244,1296.543,0.0,741.049,508.851,31.267,48.008,97.968,203.96,127.649,232.198
DEU,Germany,2016,3920000000000.0,82194000.0,3062.104,889.936,460.973,848.848,69.23,1323.32,0.0,721.156,508.319,31.334,51.67,95.809,200.992,128.514,212.837
GRC,Greece,2000,248000000000.0,11082000.0,365.205,104.948,95.617,19.602,0.0,240.656,0.0,11.511,11.511,0.0,10.258,0.0,1.253,0.0,0.0
GRC,Greece,2001,262000000000.0,11134000.0,372.273,108.476,97.599,19.345,0.0,244.452,0.0,8.092,8.092,0.0,5.787,0.0,2.086,0.218,0.0
